# rsID	Allele	Freq	Population	Submitter
rs1333049	C	-	-	TSC-CSHL
rs1333049	G	-	-	TSC-CSHL
rs1333049	G	-	-	SC_SNP
rs1333049	C	-	-	SC_SNP
rs1333049	G	-	-	CSHL-HAPMAP
rs1333049	C	-	-	CSHL-HAPMAP
rs1333049	G	-	-	SSAHASNP
rs1333049	C	-	-	SSAHASNP
rs1333049	G	0.375	PERLEGEN:AFD_EUR_PANEL	PERLEGEN
rs1333049	C	0.625	PERLEGEN:AFD_EUR_PANEL	PERLEGEN
rs1333049	G	0.76087	PERLEGEN:AFD_AFR_PANEL	PERLEGEN
rs1333049	C	0.23913	PERLEGEN:AFD_AFR_PANEL	PERLEGEN
rs1333049	G	0.541667	PERLEGEN:AFD_CHN_PANEL	PERLEGEN
rs1333049	C	0.458333	PERLEGEN:AFD_CHN_PANEL	PERLEGEN
rs1333049	G	-	ABI:Celera_Donors	ABI
rs1333049	C	-	ABI:Celera_Donors	ABI
rs1333049	G	0.508475	CSHL-HAPMAP:HapMap-CEU	AFFY
rs1333049	C	0.491525	CSHL-HAPMAP:HapMap-CEU	AFFY
rs1333049	G	0.522222	CSHL-HAPMAP:HapMap-HCB	AFFY
rs1333049	C	0.477778	CSHL-HAPMAP:HapMap-HCB	AFFY
rs1333049	G	0.488889	CSHL-HAPMAP:HapMap-JPT	AFFY
rs1333049	C	0.511111	CSHL-HAPMAP:HapMap-JPT	AFFY
rs1333049	G	0.825	CSHL-HAPMAP:HapMap-YRI	AFFY
rs1333049	C	0.175	CSHL-HAPMAP:HapMap-YRI	AFFY
rs1333049	G	0.25	WINDBER_RESEARCH:ICMHP	AFFY
rs1333049	C	0.75	WINDBER_RESEARCH:ICMHP	AFFY
rs1333049	C	-	KRIBB_YJKIM:KHP_Korean	KRIBB_YJKIM
rs1333049	G	-	KRIBB_YJKIM:KHP_Korean	KRIBB_YJKIM
rs1333049	G	0.544248	CSHL-HAPMAP:HapMap-CEU	HGSV
rs1333049	C	0.455752	CSHL-HAPMAP:HapMap-CEU	HGSV
rs1333049	G	0.523256	CSHL-HAPMAP:HapMap-HCB	HGSV
rs1333049	C	0.476744	CSHL-HAPMAP:HapMap-HCB	HGSV
rs1333049	G	0.453488	CSHL-HAPMAP:HapMap-JPT	HGSV
rs1333049	C	0.546512	CSHL-HAPMAP:HapMap-JPT	HGSV
rs1333049	G	0.827434	CSHL-HAPMAP:HapMap-YRI	HGSV
rs1333049	C	0.172566	CSHL-HAPMAP:HapMap-YRI	HGSV
rs1333049	G	0.714286	CSHL-HAPMAP:HAPMAP-ASW	HGSV
rs1333049	C	0.285714	CSHL-HAPMAP:HAPMAP-ASW	HGSV
rs1333049	G	0.451219	CSHL-HAPMAP:HAPMAP-CHB	HGSV
rs1333049	C	0.548781	CSHL-HAPMAP:HAPMAP-CHB	HGSV
rs1333049	G	0.511765	CSHL-HAPMAP:HAPMAP-CHD	HGSV
rs1333049	C	0.488235	CSHL-HAPMAP:HAPMAP-CHD	HGSV
rs1333049	G	0.517045	CSHL-HAPMAP:HAPMAP-GIH	HGSV
rs1333049	C	0.482955	CSHL-HAPMAP:HAPMAP-GIH	HGSV
rs1333049	G	0.761111	CSHL-HAPMAP:HAPMAP-LWK	HGSV
rs1333049	C	0.238889	CSHL-HAPMAP:HAPMAP-LWK	HGSV
rs1333049	G	0.52	CSHL-HAPMAP:HAPMAP-MEX	HGSV
rs1333049	C	0.48	CSHL-HAPMAP:HAPMAP-MEX	HGSV
rs1333049	G	0.77972	CSHL-HAPMAP:HAPMAP-MKK	HGSV
rs1333049	C	0.22028	CSHL-HAPMAP:HAPMAP-MKK	HGSV
rs1333049	G	0.482955	CSHL-HAPMAP:HAPMAP-TSI	HGSV
rs1333049	C	0.517045	CSHL-HAPMAP:HAPMAP-TSI	HGSV
rs1333049	G	-	-	BCMHGSC_JDW
rs1333049	C	-	-	BCMHGSC_JDW
rs1333049	G	0.5	HUMANGENOME_JCVI:J. Craig Venter	HUMANGENOME_JCVI
rs1333049	C	0.5	HUMANGENOME_JCVI:J. Craig Venter	HUMANGENOME_JCVI
rs1333049	G	-	-	BGI
rs1333049	C	-	-	BGI
